Superficie_(ha);Population_(2020);Arrond.;Nro;Notes
183;15919;75001;1;
99;21119;75002;2;
117;32793;75003;3;
160;28324;75004;4;
254;56841;75005;5;
215;40209;75006;6;
409;47947;75007;7;
388;35123;75008;8;
218;58951;75009;9;
289;83543;75010;10;
367;142583;75011;11;
637;140954;75012;12S;
1632;140954;75012;12A;Avec bois de Vincennes
715;178350;75013;13;
564;136368;75014;14;
848;227746;75015;15;
791;162061;75016;16S;
1637;162061;75016;16A;Avec bois de Boulogne
567;164413;75017;17;
601;188446;75018;18;
679;181616;75019;19;
598;189805;75020;20;
